category,part,supplier,description_on_invoice,qty_or_pack,cost_eur,notes
tank,Fire extinguisher 2 kg,Amazon.nl,Smartwares 10.014.68 Brandblusser poeder 2 kg ABC rood,1,27.29,Tank used as the pneumatic battery for the experimental setup
tank,Fire extinguisher 1 kg,Amazon.nl,Smartwares 10.018.56 (BB1) Brandblusser Poeder 1 kg ABC,1,29.00,Tank for the experimental setup and the rover
tank,Fire extinguisher foam 2 L,Amazon.nl,Smartwares SW SB2 SB2 Brandblusser Schuim 2 liter AB,3,71.97,First set converted to ballast configuration
tank,Fire extinguisher foam 2 L,Amazon.nl,Smartwares SW SB2 SB2 Brandblusser Schuim 2 liter AB,2,47.98,Second set converted to ballast configuration
tank,Fire extinguisher 1 kg ABC,IFSS B.V. via bol.com,ANAF Group Brandblusser 1 kg Poederblusser ABC,5,114.75,Final artifact tanks
tank,Fire extinguisher 1 kg ABC,IFSS B.V. via bol.com,ANAF Group Brandblusser 1 kg Poederblusser ABC,6,137.70,Pressure vessels for design cycle 2 rovers
pneumatic,Elbow fitting 8mm x 1/8 BSP,Amazon.nl,TAILONZ PNEUMATIC Mannelijke Elleboog 8mm Buis OD x 1/8 BSP Push,pack,13.49,90 degree fittings
pneumatic,Straight fitting PC8-01,Amazon.nl,TAILONZ PNEUMATIC Mannelijke Rechte 8mm Buis OD x 1/8 BSP Push,10,9.99,First set
pneumatic,Straight fitting PC8-01,Amazon.nl,TAILONZ PNEUMATIC Male Straight 8mm Tube OD x 1/8 BSP PC8-01,10,9.99,Second set
pneumatic,Straight fitting PC8-01,Amazon.nl,TAILONZ PNEUMATIC Mannelijke Rechte 8mm Buis OD x 1/8 BSP,10,9.99,Third set
pneumatic,Straight fitting,Amazon.nl,Bwintech 12 Pcs 8mm Buis OD x 1/8 Mannelijke BSP Draad Rechte Push,12,11.49,Better delivery time than the first ones
pneumatic,Straight fitting,Amazon.nl,Bwintech 12 Pcs 8mm Buis OD x 1/8 Mannelijke BSP Draad Rechte Push in,12,20.48,Design cycle 2
pneumatic,Quick connector adapter,Amazon.nl,10 stks Pneumatische Quick Connector Air Fittings Adapter 8mm 1/4BSP,10,12.72,Fourth set of fittings
pneumatic,Quick connector adapter,Amazon.nl,10 stks Pneumatische Quick Connector Air Fittings Adapter 8mm,10,6.44,
pneumatic,T-piece,CNCTEC UG via Amazon,Pneumatische meervoudige steekschroefverbinding TE 1/4 - 8mm IQS T-stuk perslucht,set,38.72,Second set of pneumatic valves/fittings
pneumatic,Ball valve BVU-8,Amazon.nl,TAILONZ PNEUMATIC 8mm OD Kogelklep Luchtstroom Regelklep Push,1,18.99,
pneumatic,Ball valve BVU-8,Amazon.nl,TAILONZ PNEUMATIC 8mm OD Kogelklep Luchtstroom Regelklep Push,2,37.98,
pneumatic,Ball valve BVU-8,Amazon.nl,TAILONZ PNEUMATIC 8mm OD Ball Valve Air Flow Control Valve BVU-8,5,75.96,First set of pneumatic valves
pneumatic,Ball valve,Amazon.nl,ERGAOBOY 5 Pcs 8mm OD Pneumatische Kogelkraan,5,18.99,Used on the rovers
pneumatic,PU hose 8mm OD 5mm ID,Amazon.nl,HUAZIZ 8mm OD 5mm ID Pneumatic Air Hose PU Hose 12m Blue,12 m,29.98,
pneumatic,PU hose 8mm OD,Amazon.nl,TAILONZ PNEUMATIC Blauw 8mm OD 10 Meter PU de Pijpslang,10 m,15.99,
pneumatic,Splitters,Amazon.nl,TAILONZ PNEUMATIC 8mm OD Push to Connect Fittings Pneumatische,pack,17.99,Distributing air between cylinders
pneumatic,O-ring set,Bol.com,O-ringset 32 maten 419 delig NBR Rubber,419,17.45,Sealing the pneumatic system
pneumatic,Compressor accessories,Lemato,HBM 5 Delig Luchtgereedschapset,1,26.90,Hose and accessories for the HBM compressor
